TIme,Amp
0.66,11.76
0.72,11.91
0.67,12.07
0.76,11.72
0.85,11.91
1.05,11.78
1.13,11.87
1.22,12.19
1.13,12.06
1.40,12.23
1.37,12.11
1.59,11.93
1.74,11.79
1.86,11.86
2.01,11.78
2.17,11.90
2.35,12.01
2.53,11.86
2.65,11.82
2.79,12.02
2.89,12.14
2.86,11.95
3.06,12.16
2.99,12.01
3.02,11.93
3.29,12.14
3.43,12.20
3.38,0.16
3.73,12.07
3.81,12.24
3.99,11.72
4.07,11.87
4.17,11.68
4.25,11.89
4.19,11.61
4.34,12.01
4.42,12.16
4.36,11.81
4.52,12.24
4.65,12.06
4.71,12.21
4.87,11.99
4.89,12.10
4.89,12.22
5.04,12.70
5.07,12.56
5.09,12.31
5.27,11.85
5.35,11.63
5.50,11.62
5.66,12.08
5.74,11.96
5.73,12.22
5.85,11.85
5.91,12.05
5.98,12.18
6.03,12.28
6.12,12.02
6.21,12.28
6.21,12.16
6.29,11.88
6.27,12.03
6.33,11.75
6.46,12.35
6.45,12.53
6.60,12.22
6.60,11.99
6.56,11.86
6.65,12.15
6.79,12.30
6.74,12.74
6.75,12.62
6.88,12.43
6.91,12.21
7.00,12.35
7.06,12.04
7.11,11.93
7.19,12.26
7.20,12.38
7.29,12.12
7.38,11.94
7.35,12.27
7.46,11.91
7.37,12.48
7.46,12.15
7.47,12.03
7.57,11.96
7.74,0.25
7.67,12.36
7.80,11.76
7.83,0.40
7.85,0.26
7.87,0.11
7.92,0.02
8.05,11.93
7.99,12.00
8.21,12.42
8.20,12.27
8.18,12.15
8.28,12.66
8.30,12.55
8.34,12.38
8.39,12.25
8.50,11.93
8.69,12.29
8.71,12.63
8.71,12.47
8.75,12.40
8.87,12.12
8.91,12.28
9.03,12.47
9.02,12.64
9.07,12.32
9.13,12.19
9.20,-0.01
9.32,12.55
9.34,12.40
9.29,12.70
9.41,-0.29
9.40,12.25
9.45,12.11
9.42,11.98
9.43,-0.19
9.59,11.92
9.58,12.26
9.63,12.09
9.72,11.77
9.80,11.95
9.75,12.31
9.90,11.80
10.01,11.96
10.01,12.11
10.16,11.83
10.25,11.92
10.46,11.84
10.59,11.76
10.60,11.94
10.59,11.86
10.85,11.84
10.87,12.02
10.87,12.38
10.89,12.23
10.87,12.15
10.99,12.56
11.00,12.67
11.22,12.10
11.30,11.94
11.43,12.88
11.47,12.70
11.52,12.56
11.51,12.44
11.51,12.32
11.51,12.19
11.56,12.09
11.63,11.98
11.54,12.89
11.68,11.81
11.65,12.64
11.64,12.50
11.64,12.38
11.65,12.29
11.68,12.16
11.87,11.94
11.96,12.12
12.04,12.18
12.10,11.97
12.25,12.51
12.26,12.35
12.23,12.24
12.23,12.13
12.25,12.80
12.26,12.66
12.26,12.00
12.37,0.33
12.45,12.25
12.39,12.10
12.40,11.96
12.40,11.84
12.45,12.42
12.55,0.40
12.54,0.25
12.66,12.11
12.70,12.04
12.74,12.29
12.90,12.14
12.95,12.31
13.06,13.70
13.06,13.54
13.06,13.43
13.06,13.31
13.11,13.15
13.10,12.99
13.15,12.87
13.16,12.76
13.14,12.64
13.14,12.52
13.14,12.40
13.11,12.12
13.19,12.26
13.29,12.86
13.29,12.74
13.29,12.62
13.34,12.47
13.34,12.36
13.34,12.23
13.38,12.11
13.38,11.98
13.43,11.87
13.57,12.41
13.57,12.04
13.76,11.89
13.88,12.21
13.88,12.04
13.98,12.34
13.95,11.94
14.10,12.12
14.12,12.50
14.16,12.63
14.19,12.39
14.18,12.25
14.31,12.14
14.28,12.51
14.36,12.33
14.40,12.03
14.43,12.20
14.61,11.77
14.63,0.14
14.72,12.44
14.71,12.28
14.68,12.15
14.69,11.96
14.64,12.09
14.90,12.54
14.90,12.38
14.91,12.28
14.85,12.20
14.86,12.02
15.07,13.52
15.05,13.36
15.06,13.21
15.09,13.08
15.11,12.63
15.16,12.89
15.15,0.13
15.11,-0.01
15.18,12.76
15.18,12.43
15.17,12.27
15.17,12.15
15.16,12.04
15.22,11.98
15.22,13.05
15.29,12.60
15.28,12.95
15.34,12.78
15.38,12.42
15.36,12.28
15.39,12.12
15.42,11.97
15.42,0.23
15.51,12.66
15.49,12.51
15.59,12.32
15.60,12.10
15.70,12.40
15.67,11.95
15.78,12.25
15.81,11.89
15.81,12.05
15.80,12.43
15.95,11.95
16.01,11.81
16.00,12.19
16.13,12.01
16.22,11.86
16.26,0.42
16.28,12.18
16.32,11.99
16.42,12.27
16.44,0.39
16.46,12.15
16.52,12.00
16.44,0.32
16.54,11.89
16.53,11.79
16.56,0.75
16.72,12.46
16.70,12.64
16.76,12.28
16.67,0.48
16.68,12.75
16.85,12.13
16.83,11.99
16.79,11.91
16.88,12.46
16.87,12.57
16.88,12.33
16.93,13.56
16.95,13.15
17.03,0.27
17.02,12.98
17.04,12.85
17.06,0.41
17.07,0.56
17.20,12.09
17.17,11.93
17.19,11.82
17.34,12.23
17.27,12.46
17.41,12.09
17.39,-0.04
17.53,11.93
17.54,11.77
17.56,0.39
17.62,12.14
17.61,11.71
17.68,12.53
17.65,12.35
17.66,12.28
17.74,11.96
17.70,11.83
17.75,12.72
17.83,12.13
17.75,12.95
17.75,12.84
17.83,12.48
17.84,12.36
17.88,12.26
18.02,12.19
18.07,12.03
18.13,12.45
18.15,12.30
18.17,12.62
18.27,12.19
18.19,12.83
18.24,12.02
18.27,11.92
18.36,12.37
18.26,11.85
18.51,12.21
18.53,12.03
18.62,12.38
18.72,12.21
18.69,11.95
18.73,12.07
18.83,12.29
18.83,11.99
18.96,12.14
18.92,13.36
18.93,13.20
18.93,13.08
18.93,12.97
19.13,12.55
19.12,12.41
19.10,12.31
19.11,12.03
19.11,12.19
19.12,-0.22
19.23,13.17
19.23,13.06
19.23,12.94
19.24,12.82
19.24,12.70
19.28,12.56
19.27,12.42
19.38,12.30
19.40,12.19
19.42,12.03
19.43,0.32
19.43,0.20
19.56,11.90
19.72,12.19
19.73,0.24
19.78,12.04
19.75,0.40
19.79,12.31
19.83,12.19
20.00,11.90
20.06,11.77
20.15,12.03
20.15,12.27
20.14,12.13
20.21,12.93
20.24,12.73
20.24,12.58
20.23,12.47
20.20,11.92
20.18,12.84
20.32,0.22
20.38,12.38
20.38,12.21
20.38,12.09
20.46,11.98
20.51,12.34
20.51,12.22
20.52,12.11
20.66,11.97
20.74,11.83
20.72,12.36
20.73,12.18
20.79,12.05
20.72,12.47
20.82,11.93
20.97,13.34
20.93,13.18
20.93,13.06
20.93,12.94
20.93,12.83
20.93,12.71
20.93,12.62
20.98,0.39
20.99,0.26
21.24,12.29
21.28,12.49
21.19,0.53
21.24,12.88
21.26,12.62
21.39,12.13
21.40,11.96
21.44,12.34
21.38,12.54
21.36,12.44
21.49,11.84
21.45,11.74
21.59,12.14
21.64,12.33
21.60,11.98
21.69,12.52
21.72,12.85
21.72,12.68
21.72,12.61
21.72,12.16
21.94,12.97
21.93,12.81
21.92,12.70
21.90,12.58
21.92,12.44
21.94,12.35
22.05,13.12
22.15,12.98
22.13,12.84
22.11,12.70
22.21,12.61
22.17,13.22
22.26,13.12
22.33,12.48
22.35,12.80
22.34,12.32
22.36,12.21
22.42,12.66
22.44,12.12
22.44,13.27
22.46,12.98
22.47,13.13
22.55,12.78
22.55,12.54
22.54,12.40
22.56,12.29
22.65,12.66
22.61,13.67
22.61,13.50
22.61,13.39
22.61,12.10
22.64,13.21
22.65,12.99
22.67,12.87
22.68,12.78
22.71,12.56
22.66,12.44
22.68,12.32
22.88,0.57
22.89,0.21
22.91,0.08
22.95,-0.01
23.34,12.35
23.33,12.21
23.44,13.03
23.51,12.92
23.53,12.80
23.52,12.68
23.77,13.92
23.87,13.73
23.86,13.59
23.84,13.45
23.99,0.36
24.03,13.36
24.03,13.16
24.00,13.64
24.04,13.50
24.05,0.53
24.09,0.34
24.20,13.31
24.19,13.13
24.20,12.94
24.23,14.61
24.24,14.44
24.26,14.26
24.34,14.06
24.36,13.93
24.37,13.81
24.34,13.65
24.40,13.44
24.43,13.32
24.49,-0.18
24.54,13.23
24.56,13.37
24.72,-0.15
24.84,12.45
24.87,12.60
24.93,0.31
25.20,11.78
25.50,12.34
25.55,12.53
25.60,12.23
25.66,12.69
25.69,12.39
25.69,12.56
25.78,12.20
25.79,12.10
25.92,12.68
25.90,12.45
25.95,12.58
26.10,12.11
26.10,12.02
26.10,12.30
26.42,11.80
26.57,13.06
26.66,12.87
26.66,12.72
26.66,12.60
26.73,13.39
26.73,13.25
26.77,13.11
26.80,12.97
26.87,12.85
26.90,12.71
26.86,12.13
26.84,13.27
26.93,12.58
26.97,12.45
27.04,12.40
26.92,11.99
26.96,12.88
26.97,12.75
27.12,12.48
27.17,0.19
27.19,0.33
27.20,0.51
27.38,0.66
27.63,12.48
27.66,12.26
27.65,12.14
27.78,12.58
27.82,0.27
27.97,11.94
28.00,0.14
28.10,11.96
28.36,12.47
28.39,12.30
28.39,12.13
28.43,14.28
28.41,14.53
28.45,14.13
28.64,12.81
28.64,12.69
28.67,12.57
28.64,12.42
28.91,11.84
29.06,12.16
29.08,12.30
29.16,12.85
29.29,12.66
29.26,12.54
29.24,12.41
29.24,12.32
29.33,0.73
29.42,12.10
29.46,11.93
29.62,0.27
29.74,12.22
29.74,12.37
29.87,12.57
29.90,12.19
30.04,12.07
30.36,12.95
30.41,14.02
30.43,13.90
30.68,11.93
30.80,12.37
30.71,12.12
30.85,12.60
30.86,12.80
30.84,12.95
30.87,12.46
30.99,12.74
31.19,11.96
31.41,12.93
31.37,12.78
31.45,12.71
31.45,13.14
31.44,13.32
31.51,12.91
31.68,12.04
31.71,0.38
31.84,12.33
31.86,12.98
31.85,12.82
31.83,12.69
31.84,12.49
31.87,13.54
31.89,13.37
31.89,13.21
31.90,13.11
31.89,12.63
32.07,12.08
32.17,11.93
32.37,13.05
32.31,12.79
32.38,0.35
32.44,13.30
32.46,13.13
32.46,12.99
32.46,12.90
32.48,12.80
32.62,12.00
32.67,0.01
32.85,12.31
32.88,12.24
32.94,12.53
33.07,11.94
33.25,12.22
33.37,12.09
33.34,11.98
33.49,12.23
33.52,12.03
33.55,12.94
33.73,12.51
33.74,12.39
33.75,12.27
33.87,11.98
34.12,12.14
34.21,12.05
34.36,12.01
34.43,13.50
34.46,13.37
34.46,13.29
34.69,11.99
34.76,12.85
34.73,0.42
34.79,12.71
34.91,12.13
35.03,12.00
35.13,12.82
35.17,12.65
35.34,12.10
35.33,12.00
35.49,12.78
35.47,12.92
35.73,11.95
35.82,12.54
35.98,0.37
36.01,12.12
36.09,12.03
36.13,12.71
36.16,12.53
36.29,12.13
36.22,0.25
36.37,12.03
36.56,-0.01
36.68,11.98
36.79,12.50
36.79,12.35
36.93,12.63
37.01,12.13
37.13,12.75
37.14,12.66
37.45,12.78
37.69,12.14
37.80,12.23
37.75,-0.27
37.92,12.12
37.97,12.32
38.04,12.45
38.06,12.25
38.18,12.28
38.19,12.14
38.28,12.83
38.50,12.20
38.64,-0.39
38.82,12.47
38.85,12.34
38.91,12.25
38.90,12.95
39.09,12.42
39.09,12.30
39.09,12.15
39.13,12.07
39.21,12.90
39.31,-0.05
39.33,12.30
39.36,12.18
39.37,-0.15
39.44,12.73
39.62,12.15
39.74,12.27
39.74,12.42
39.69,12.63
39.95,12.31
40.04,12.21
40.07,12.41
40.21,12.13
40.26,12.76
40.27,12.62
40.26,12.51
40.25,12.32
40.28,12.43
40.41,12.10
40.49,12.02
40.50,11.91
40.72,12.37
40.76,12.19
40.70,12.70
40.74,12.56
40.91,12.07
40.88,12.18
41.00,12.74
41.22,12.01
41.35,12.16
41.31,12.32
41.40,-0.01
41.42,12.22
41.38,-0.07
41.48,12.57
41.59,12.44
41.62,12.31
41.57,12.24
41.88,12.23
42.09,12.12
42.09,11.99
42.13,12.31
42.23,12.61
42.25,12.53
42.36,12.21
42.40,13.51
42.40,0.46
42.67,12.83
42.87,12.51
42.84,12.89
42.87,12.69
43.00,0.50
42.91,0.40
43.16,12.21
43.12,0.46
43.16,12.31
43.29,11.99
43.46,12.30
43.49,12.15
43.70,0.27
43.93,12.32
44.17,12.22
44.78,12.91
44.96,12.30
45.03,12.51
45.27,12.10
45.18,12.02
45.30,0.53
45.27,0.36
45.26,0.24
45.26,0.12
45.30,0.00
45.38,12.10
45.49,0.59
45.48,0.47
45.47,0.34
45.57,12.63
45.70,12.49
45.62,12.76
45.61,0.57
45.85,12.50
46.04,12.40
46.06,12.25
46.16,12.20
46.20,12.48
46.24,12.33
46.40,12.32
46.47,12.42
46.50,12.57
46.73,12.59
46.97,12.30
46.97,12.56
47.58,0.52
47.80,12.33
47.88,12.44
48.14,12.35
48.25,12.40
48.17,0.05
48.35,12.23
48.39,12.17
48.55,12.88
48.57,12.75
48.59,12.63
48.57,12.51
48.55,12.38
48.65,12.37
48.77,12.65
48.75,12.46
48.77,12.77
48.97,12.43
49.02,12.33
49.23,12.58
49.30,12.48
49.53,12.42
49.65,0.27
49.68,12.47
49.76,12.77
49.72,12.60
49.77,0.19
50.02,12.52
50.28,12.64
50.81,12.66